เซลส์,ลำดับ,จำนวนรวม,ประเภท,รายชื่อ,จังหวัด,คนร่วมงาน,40,80,120,200,300,600,ผลรวมจองทั้งหมด,ร้านค้าที่จองยาง
เม ผู้ใช้,10,46,ผู้ใช้,บริษัท  อุดมพัฒนา (สำรอง),สมุทรสาคร,2,,,,0,,,0,
เม ผู้ใช้,11,47,ผู้ใช้,บริษัท  หงส์ดำ (สำรอง),สมุทรสาคร,2,,80,,,,,80,1
เม ผู้ใช้,12,48,ผู้ใช้,หจก.ก้าวสุวรรณ,สมุทรสาคร,2,,80,,,,,80,1
เม ผู้ใช้,13,,ผู้ใช้,หจก.วสุโลจิสติกส์,นครปฐม,2,40, ,,,,,40,1
เม ผู้ใช้,14,,ผู้ใช้,หจก.วีระวิภา ทรานสปอร์ต,สมุทรสาคร,2,,80,,,,,80,1
เม ผู้ใช้,15,,ผู้ใช้,หจก.นารถรวี ขนส่ง,นครปฐม,2,40,,,,,,40,1
หวาน,1,49,ผู้ใช้,บจก.ภาคภูมิโลจิสติกส์,อยุธยา,2,,,120,,,,120,1
หวาน,2,50,ผู้ใช้,บจก.ยุทธนาทรานสปอร์ต,อยุธยา,2, ,80,,,,,80,1
หวาน,3,51,ผู้ใช้,หจก.ภูพลบุตรทรานสปอร์ต,อยุธยา,2,40,,,,,,40,1
หวาน,4,52,ผู้ใช้,หจก.ชมแขขนส่ง,อยุธยา,2,40,,,,,,40,1
หวาน,5,53,ผู้ใช้,บจก.วินทีม,อยุธยา,2,40,,,,,,40,1
หวาน,6,54,ผู้ใช้,บจก.ตวงพรขนส่ง,อยุธยา,2,40,,,,,,40,1
หวาน,8,55,ผู้ใช้,บจก.สมยศ,สระบุรี,2,40,,,,,,40,1
หวาน,9,56,ผู้ใช้,บจก.นิติยาขนส่ง,สระบุรี,2,,80,,,,,80,1
หวาน,10,57,ผู้ใช้,บจก.ทีเอ็มทีสตีล(ลค.ใหม่),อยุธยา,2,40,,,,,,40,1
หวาน,11,58,ผู้ใช้,บจก.ธีรภัค ทรานสปอร์ต(ลค.ใหม่),สระบุรี,2,40, ,,,,,40,1
หวาน,12,59,ผู้ใช้,หจก.ทองทรานทรานสปอร์ต,สระบุรี,2,40,,,,,,40,1
หวาน,13,60,ผู้ใช้,บจก.ทรงยศท่องเที่ยว,อยุธยา,2,,80,,,,,80,1
หวาน,14,61,ผู้ใช้,หจก.นพมงคลเซอร์วิส,อยุธยา,2,,80,,,,,80,1
